,id,laydate,year,weight,joeweight,length,breadth,volume,mage,fage,clutch,fertile,sire,srear,dam,drear,pair,minus,eggcount,double,doubletot,comments,eggsb,damsb,siresb,damF,sireF,relatedness
95,01LIKU2,3/30/2001,2001,280.26,274.91,106.79,67.56,247.13,8,8,2,Y,Wishtoyo,Artificial,Likuyi,Artificial,4,2000,1,N,0,Given to Sulkuw/Kuhu,258,96,83,-0.0591,0.0023,0.036
96,01SULK1,3/30/2001,2001,298.15,293.16,107.24,69.62,263.53,8,8,1,Y,Kuhu,Artificial,Sulkuw,Artificial,4,2000,1,N,0,,259,93,91,-0.0508,-0.0083,-0.0052
97,01HONS1,4/14/2001,2001,260.06,259.21,101.08,67.43,233.01,7,11,1,Y,Antop,Artificial,Honsi,Artificial,1,2000,2,Y,4,There is Some Question to the Lay Date,261,57,99,0.0549,0.0525,0.1113
98,02ROTC1,1/24/2002,2002,260.3,260.9,102.62,67.14,234.53,10,11,1,N,Atishwin,Artificial,Rotciwi,Artificial,8,2001,1,N,0,Infertile,NA,59,73,0.0161,-0.0226,-0.0364
99,02HOSI1,2/16/2002,2002,261.73,262.52,102.16,67.5,235.99,12,9,1,Y,Maluk,Artificial,Hosima,Parent,5,2001,2,Y,2,Returned to Adults After Pip; Chick Rotated 75%; Removed Cap,272,84,55,0.0023,0.0525,0.0908
100,02LIKU1,2/20/2002,2002,289.09,283.89,107.24,68.51,255.2,9,9,1,Y,Wishtoyo,Artificial,Likuyi,Artificial,5,2001,2,Y,1,,273,96,83,-0.0591,0.0023,0.036
101,02KARE1,2/23/2002,2002,286.8,289.39,103.38,70.45,260.14,10,12,1,Y,Tapu,Parent,Kareya,Artificial,8,2001,1,N,0,Late Term Death,NA,56,71,0.0525,-0.0316,0.05
103,02KSEN1,2/24/2002,2002,301.31,261.9,100.13,68.1,235.43,9,9,1,Y,Xopoy,Artificial,Ksen,Artificial,5,2001,1,N,0,,276,94,92,-0.0226,0.0161,-0.0364
102,02HONS1,2/24/2002,2002,264.42,263.29,100.13,68.28,236.68,8,12,1,Y,Antop,Artificial,Honsi,Artificial,2,2001,1,N,4,Given to Kareya/Tapu Day 54,274,57,99,0.0549,0.0525,0.1113
104,02KOYO1,2/25/2002,2002,267.12,267.45,104.23,67.45,240.42,8,10,1,Y,Inja,Artificial,Koyo,Artificial,5,2001,1,N,0,,275,76,104,0.0525,-0.0375,0.0704
105,02TOWA1,3/5/2002,2002,296.53,273.38,106.26,67.54,245.75,9,13,1,N,Alishaw,Artificial,Towasinah,Artificial,2,2001,1,N,4,Infertile,NA,49,90,-0.0508,-0.0083,-0.0052
106,02JALA1,3/6/2002,2002,258.94,257.17,105.06,65.88,231.18,11,10,1,N,Susil,Artificial,Jalama,Artificial,2,2001,1,N,0,Infertile,NA,80,67,-0.0508,-0.0316,-0.0179
107,02TECU1,3/7/2002,2002,255.83,254.57,100.25,67.1,228.84,13,19,1,Y,Shasta,Artificial,Tecuya,Artificial,9,2001,2,Y,6,Returned to Adults Day 48; Removed Cap on Day 57,280,30,47,0,-0.0316,0.0046
108,02CHUH1,3/8/2002,2002,311.03,301.23,107.58,70.46,270.79,11,12,1,Y,O-Tum,Artificial,Chuhlna,Artificial,8,2001,1,N,2,"PipHigh onEgg;AfterCompletingRotation,Hole was tooSmall;Completed byHand;Head overRtWing",282,51,62,-0.0508,0.0549,-0.0077
